n,p,tn
250000,0.1,144
250000,0.1,123
250000,0.1,106
250000,0.1,125
250000,0.1,105
250000,0.1,124
250000,0.1,119
250000,0.1,125
250000,0.1,118
250000,0.1,123
250000,0.1,115
250000,0.1,111
250000,0.1,111
250000,0.1,140
250000,0.1,116
250000,0.1,120
250000,0.1,119
250000,0.1,142
250000,0.1,133
250000,0.1,120
260000,0.1,109
260000,0.1,113
260000,0.1,117
260000,0.1,144
260000,0.1,119
260000,0.1,111
260000,0.1,121
260000,0.1,119
260000,0.1,130
260000,0.1,109
260000,0.1,135
260000,0.1,130
260000,0.1,121
260000,0.1,123
260000,0.1,132
260000,0.1,104
260000,0.1,119
260000,0.1,104
260000,0.1,116
260000,0.1,129
260000,0.1,146
260000,0.1,128
260000,0.1,143
260000,0.1,128
260000,0.1,140
260000,0.1,129
260000,0.1,164
260000,0.1,111
260000,0.1,134
260000,0.1,111
260000,0.1,118
260000,0.1,141
260000,0.1,138
260000,0.1,118
260000,0.1,124
260000,0.1,121
260000,0.1,110
260000,0.1,138
260000,0.1,143
260000,0.1,133
260000,0.1,122
260000,0.1,125
260000,0.1,132
260000,0.1,117
260000,0.1,136
260000,0.1,103
260000,0.1,113
260000,0.1,151
260000,0.1,119
260000,0.1,114
270000,0.1,118
270000,0.1,107
270000,0.1,128
270000,0.1,125
270000,0.1,148
270000,0.1,121
270000,0.1,141
270000,0.1,140
270000,0.1,121
270000,0.1,111
270000,0.1,119
270000,0.1,108
270000,0.1,135
270000,0.1,165
270000,0.1,109
270000,0.1,113
270000,0.1,129
270000,0.1,129
270000,0.1,116
270000,0.1,120
270000,0.1,112
270000,0.1,128
270000,0.1,124
270000,0.1,130
270000,0.1,117
270000,0.1,137
270000,0.1,125
270000,0.1,136
270000,0.1,123
270000,0.1,115
270000,0.1,130
270000,0.1,124
270000,0.1,114
270000,0.1,120
270000,0.1,113
270000,0.1,123
270000,0.1,101
270000,0.1,101
270000,0.1,120
270000,0.1,137
270000,0.1,130
270000,0.1,113
270000,0.1,122
270000,0.1,129
270000,0.1,156
270000,0.1,111
270000,0.1,110
270000,0.1,130
270000,0.1,109
270000,0.1,133
280000,0.1,113
280000,0.1,122
280000,0.1,113
280000,0.1,149
280000,0.1,143
280000,0.1,125
280000,0.1,124
280000,0.1,126
280000,0.1,134
280000,0.1,112
280000,0.1,132
280000,0.1,110
280000,0.1,123
280000,0.1,156
280000,0.1,123
280000,0.1,130
280000,0.1,109
280000,0.1,107
280000,0.1,112
280000,0.1,129
280000,0.1,156
280000,0.1,136
280000,0.1,127
280000,0.1,131
280000,0.1,143
280000,0.1,131
280000,0.1,123
280000,0.1,147
280000,0.1,124
280000,0.1,124
280000,0.1,128
280000,0.1,125
280000,0.1,116
280000,0.1,118
280000,0.1,112
280000,0.1,119
280000,0.1,114
280000,0.1,113
280000,0.1,117
280000,0.1,145
280000,0.1,108
280000,0.1,126
280000,0.1,125
280000,0.1,114
280000,0.1,123
280000,0.1,119
280000,0.1,127
280000,0.1,136
280000,0.1,137
280000,0.1,114
290000,0.1,121
290000,0.1,124
290000,0.1,116
290000,0.1,124
290000,0.1,127
290000,0.1,123
290000,0.1,131
290000,0.1,146
290000,0.1,134
290000,0.1,130
290000,0.1,134
290000,0.1,122
290000,0.1,120
290000,0.1,120
290000,0.1,112
290000,0.1,114
290000,0.1,122
290000,0.1,155
290000,0.1,138
290000,0.1,138
290000,0.1,129
290000,0.1,130
290000,0.1,125
290000,0.1,116
290000,0.1,139
290000,0.1,124
290000,0.1,144
290000,0.1,144
290000,0.1,129
290000,0.1,107
290000,0.1,118
290000,0.1,135
290000,0.1,139
290000,0.1,121
290000,0.1,132
290000,0.1,133
290000,0.1,114
290000,0.1,113
290000,0.1,106
290000,0.1,109
290000,0.1,113
290000,0.1,119
290000,0.1,123
290000,0.1,130
290000,0.1,139
290000,0.1,133
290000,0.1,130
290000,0.1,111
290000,0.1,117
290000,0.1,132
300000,0.1,138
300000,0.1,113
300000,0.1,130
300000,0.1,129
300000,0.1,112
300000,0.1,151
300000,0.1,118
300000,0.1,113
300000,0.1,139
300000,0.1,135
300000,0.1,123
300000,0.1,142
300000,0.1,124
300000,0.1,135
300000,0.1,131
300000,0.1,131
300000,0.1,129
300000,0.1,115
300000,0.1,129
300000,0.1,187
300000,0.1,125
300000,0.1,124
300000,0.1,120
300000,0.1,118
300000,0.1,125
300000,0.1,136
300000,0.1,112
300000,0.1,124
300000,0.1,126
300000,0.1,126
300000,0.1,143
300000,0.1,125
300000,0.1,106
300000,0.1,132
300000,0.1,121
300000,0.1,130
300000,0.1,112
300000,0.1,136
300000,0.1,124
300000,0.1,128
300000,0.1,138
300000,0.1,116
300000,0.1,135
300000,0.1,122
300000,0.1,135
300000,0.1,118
300000,0.1,120
300000,0.1,128
300000,0.1,112
300000,0.1,107
310000,0.1,136
310000,0.1,128
310000,0.1,115
310000,0.1,123
310000,0.1,135
310000,0.1,129
310000,0.1,127
310000,0.1,108
310000,0.1,134
310000,0.1,123
310000,0.1,128
310000,0.1,124
310000,0.1,131
310000,0.1,123
310000,0.1,122
310000,0.1,124
310000,0.1,121
310000,0.1,129
310000,0.1,122
310000,0.1,124
310000,0.1,137
310000,0.1,130
310000,0.1,130
310000,0.1,123
310000,0.1,112
310000,0.1,129
310000,0.1,133
310000,0.1,111
310000,0.1,123
310000,0.1,121
310000,0.1,113
310000,0.1,120
310000,0.1,112
310000,0.1,118
310000,0.1,132
310000,0.1,119
310000,0.1,137
310000,0.1,128
310000,0.1,117
310000,0.1,105
310000,0.1,114
310000,0.1,132
310000,0.1,119
310000,0.1,131
310000,0.1,119
310000,0.1,122
310000,0.1,103
310000,0.1,129
310000,0.1,123
310000,0.1,111
320000,0.1,114
